Area;Total Temuan;Avg Risk Score;Avg Resolution Days;High Risk Count;Unsafe Rate (%);Priority Score;Recommendations
WORKSHOP;1;4.0;69.03333333333333;1;100.0;4.616483516483516;"URGENT: Tingkatkan frekuensi patrol dan inspeksi; Perkuat awareness program K3 di area ini; Percepat waktu penyelesaian temuan"
MUSHOLA;2;3.5;437.01666666666665;1;100.0;4.416483516483517;"URGENT: Tingkatkan frekuensi patrol dan inspeksi; Perkuat awareness program K3 di area ini; Percepat waktu penyelesaian temuan"
SUB;1;2.0;458.28333333333336;0;100.0;3.8;"Perkuat awareness program K3 di area ini; Percepat waktu penyelesaian temuan"
POWER;1;2.0;;0;100.0;3.8;Perkuat awareness program K3 di area ini
I-FUN;8;2.375;249.21458333333334;3;75.0;3.2494505494505495;"Perkuat awareness program K3 di area ini; Percepat waktu penyelesaian temuan"
GOR;10;2.2;263.78000000000003;2;60.0;2.7129670329670326;"Perkuat awareness program K3 di area ini; Percepat waktu penyelesaian temuan"
SYAHBANDARAN;13;2.4615384615384617;333.26282051282055;5;53.84615384615385;2.6824175824175827;"Perkuat awareness program K3 di area ini; Percepat waktu penyelesaian temuan"
MAGNETIC;5;2.0;164.625;1;60.0;2.616483516483516;"Perkuat awareness program K3 di area ini; Percepat waktu penyelesaian temuan"
COMPRESSOR;5;2.0;204.58333333333331;0;60.0;2.5999999999999996;"Perkuat awareness program K3 di area ini; Percepat waktu penyelesaian temuan"
POS;515;1.4174757281553398;227.6153795379538;55;37.4757281553398;2.5978555425157364;"Perkuat awareness program K3 di area ini; Prioritaskan penyelesaian temuan HIGH/CRITICAL; Percepat waktu penyelesaian temuan"
DORMITORY;74;1.837837837837838;267.50228310502285;11;54.054054054054056;2.538075438075438;"Perkuat awareness program K3 di area ini; Percepat waktu penyelesaian temuan"
SHIP UNLOADER;27;1.8888888888888888;219.13024691358024;5;55.55555555555556;2.5046398046398046;"Perkuat awareness program K3 di area ini; Percepat waktu penyelesaian temuan"
RECLAIMER;27;1.8148148148148149;249.4969135802469;3;55.55555555555556;2.4420431420431417;"Perkuat awareness program K3 di area ini; Percepat waktu penyelesaian temuan"
BOILER;1725;1.3536231884057972;149.06717083575722;91;10.492753623188406;2.356231884057971;"Prioritaskan penyelesaian temuan HIGH/CRITICAL; Percepat waktu penyelesaian temuan"
CCR CHCB;96;1.5729166666666667;279.88159722222224;8;48.95833333333333;2.2297847985347983;"Perkuat awareness program K3 di area ini; Percepat waktu penyelesaian temuan"
PERIMETER;62;1.532258064516129;260.19139784946236;7;50.0;2.228287841191067;"Perkuat awareness program K3 di area ini; Percepat waktu penyelesaian temuan"
GUDANG;95;1.5157894736842106;255.326268115942;7;45.26315789473684;2.079595141700405;"Perkuat awareness program K3 di area ini; Percepat waktu penyelesaian temuan"
CHLORINE;38;1.4210526315789473;308.6039473684211;3;47.368421052631575;2.0389242336610756;"Perkuat awareness program K3 di area ini; Percepat waktu penyelesaian temuan"
H2 PLANT;11;2.1818181818181817;228.22878787878787;0;36.36363636363637;1.9636363636363638;"Perkuat awareness program K3 di area ini; Percepat waktu penyelesaian temuan"
